Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Average
89091,0.115511,0.1135,0.114506,0.115846,0.113835,0.115511,0.115511,0.1135,0.115511,0.109479,0.114271
89092,0.118191,0.115511,0.115511,0.114841,0.11283,0.115511,0.115176,0.108139,0.110149,0.117521,0.114338
89093,0.114841,0.113835,0.114171,0.115176,0.115176,0.115511,0.115176,0.116516,0.114506,0.116181,0.1151089
89094,0.116851,0.110485,0.116181,0.115176,0.115846,0.114841,0.11082,0.114841,0.114506,0.114506,0.1144053
89095,0.116851,0.115176,0.115846,0.115176,0.115511,0.114506,0.115176,0.114841,0.115846,0.114171,0.11531
89096,0.114506,0.115846,0.115846,0.116516,0.115846,0.114506,0.115511,0.118191,0.115176,0.116181,0.1158125
89097,0.115846,0.11283,0.117186,0.115511,0.115846,0.114171,0.117856,0.114506,0.115846,0.115176,0.1154774
89098,0.114841,0.116516,0.114506,0.114171,0.110149,0.116181,0.117521,0.115846,0.115846,0.115176,0.1150753
89099,0.115511,0.117856,0.116181,0.115846,0.115176,0.114171,0.115511,0.114841,0.114171,0.116181,0.1155445
89100,0.114841,0.114841,0.116181,0.115511,0.115176,0.114841,0.115176,0.115511,0.113165,0.117186,0.1152429
89101,0.117856,0.115511,0.116181,0.113165,0.113165,0.114506,0.113165,0.115846,0.115846,0.115846,0.1151087
89102,0.115846,0.116516,0.115176,0.11283,0.116516,0.114841,0.115511,0.113835,0.114171,0.117186,0.1152428
89103,0.115176,0.114841,0.116516,0.115176,0.117186,0.115511,0.115846,0.116181,0.115846,0.115846,0.1158125
89104,0.115176,0.115846,0.115511,0.1135,0.117521,0.11216,0.115846,0.115846,0.116851,0.115846,0.1154103
89105,0.115176,0.115846,0.112495,0.114841,0.115176,0.115846,0.117521,0.110149,0.115846,0.115176,0.1148072
89106,0.115511,0.116181,0.116181,0.115511,0.115511,0.117856,0.114841,0.115176,0.11283,0.115511,0.1155109
