Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Average
89750,0.167759,0.188177,0.164411,0.170102,0.17278,0.163407,0.161063,0.175793,0.163072,0.171776,0.169834
89751,0.171776,0.180144,0.170772,0.178806,0.191858,0.187173,0.177467,0.184496,0.190185,0.186504,0.1819181
89752,0.179475,0.165415,0.172446,0.189516,0.175458,0.174454,0.178806,0.18985,0.184161,0.176463,0.1786044
89753,0.177467,0.168094,0.171107,0.171776,0.173115,0.168428,0.161398,0.174789,0.164746,0.166085,0.1697005
89754,0.170102,0.165081,0.169098,0.173785,0.172446,0.177467,0.177467,0.189181,0.166755,0.183157,0.1744539
89755,0.176128,0.186169,0.179475,0.182153,0.163407,0.179475,0.191523,0.181818,0.172446,0.180479,0.1793073
89756,0.171776,0.176128,0.16575,0.164411,0.180144,0.169098,0.166085,0.170772,0.165415,0.170772,0.1700351
89757,0.169098,0.174119,0.176128,0.162067,0.171107,0.170437,0.169768,0.16642,0.164411,0.166755,0.169031
89758,0.175458,0.156041,0.173785,0.166085,0.158719,0.168763,0.166085,0.163741,0.17914,0.171107,0.1678924
89759,0.1855,0.183491,0.182153,0.184161,0.176128,0.178806,0.193197,0.17345,0.179475,0.184161,0.1820522
89760,0.166755,0.18483,0.178806,0.16642,0.171441,0.187173,0.169768,0.169768,0.178471,0.176463,0.1749895
89761,0.18985,0.180479,0.183157,0.18483,0.177467,0.188512,0.18483,0.17914,0.175458,0.187842,0.1831565
89762,0.172111,0.164411,0.180814,0.176128,0.176128,0.185834,0.178806,0.170437,0.167089,0.163407,0.1735165
89763,0.181818,0.190854,0.17345,0.168428,0.183826,0.180814,0.171107,0.17914,0.197212,0.193866,0.1820515
89764,0.165081,0.152357,0.176128,0.167424,0.175458,0.171776,0.176797,0.163072,0.166755,0.179475,0.1694323
89765,0.174454,0.17345,0.175458,0.170102,0.174789,0.171107,0.177467,0.16575,0.172111,0.152692,0.170738
89766,0.179475,0.169433,0.173785,0.178806,0.175458,0.177467,0.190854,0.15738,0.174789,0.182153,0.17596
89767,0.174789,0.178806,0.172111,0.187173,0.172111,0.163741,0.171441,0.174454,0.167759,0.172446,0.1734831
89768,0.184161,0.182153,0.190854,0.181149,0.178136,0.176797,0.177132,0.179475,0.189516,0.18483,0.1824203
89769,0.176128,0.177132,0.176797,0.173785,0.17981,0.161398,0.178806,0.18483,0.195204,0.183157,0.1787047
