Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Average
91088,-2.552172,-2.573305,-2.558307,-2.560011,-2.568533,-2.556262,-2.536832,-2.572623,-2.547058,-2.558307,-2.558341
91089,-2.547058,-2.578417,-2.552853,-2.570578,-2.557966,-2.579099,-2.569215,-2.542968,-2.549104,-2.546718,-2.5593976
91090,-2.565465,-2.541945,-2.56342,-2.546036,-2.54774,-2.552172,-2.555921,-2.572964,-2.563079,-2.585234,-2.5593976
91091,-2.552853,-2.549445,-2.548422,-2.555239,-2.564443,-2.551149,-2.546377,-2.562738,-2.613522,-2.553194,-2.5597382
91092,-2.597504,-2.568874,-2.556262,-2.560693,-2.545013,-2.551149,-2.562397,-2.554558,-2.549445,-2.554558,-2.5600453
91093,-2.549785,-2.569215,-2.560352,-2.554898,-2.552172,-2.563761,-2.556262,-2.562397,-2.55558,-2.562397,-2.5586819
91094,-2.560011,-2.568192,-2.553194,-2.57944,-2.561716,-2.5716,-2.543309,-2.560352,-2.549445,-2.563079,-2.5610338
91095,-2.547399,-2.567169,-2.546718,-2.556262,-2.546036,-2.560693,-2.545695,-2.561034,-2.542627,-2.573986,-2.5547619
91096,-2.535128,-2.544672,-2.54365,-2.547058,-2.536832,-2.551149,-2.552512,-2.557285,-2.544331,-2.546377,-2.5458994
91097,-2.545354,-2.557285,-2.561034,-2.564443,-2.544331,-2.561034,-2.557285,-2.555921,-2.543309,-2.584893,-2.5574889
91098,-2.549785,-2.54774,-2.566829,-2.557285,-2.590347,-2.55149,-2.536491,-2.546718,-2.547399,-2.576372,-2.5570456
91099,-2.538537,-2.53615,-2.559671,-2.562397,-2.560693,-2.558648,-2.550126,-2.552853,-2.587279,-2.552172,-2.5558526
91100,-2.597504,-2.554558,-2.558648,-2.560011,-2.55149,-2.549785,-2.543309,-2.578417,-2.543309,-2.57535,-2.5612381
91101,-2.535128,-2.552512,-2.558307,-2.576372,-2.587961,-2.558989,-2.539218,-2.538196,-2.552172,-2.546718,-2.5545573
91102,-2.550467,-2.557285,-2.548081,-2.566829,-2.552512,-2.545354,-2.562397,-2.55149,-2.560352,-2.550467,-2.5545234
91103,-2.537173,-2.572282,-2.564783,-2.538537,-2.551149,-2.562057,-2.537855,-2.574327,-2.548763,-2.570919,-2.5557845
91104,-2.557625,-2.536491,-2.538537,-2.531037,-2.564102,-2.539559,-2.537855,-2.542627,-2.545013,-2.560011,-2.5452857
91105,-2.537514,-2.556603,-2.529673,-2.54774,-2.535469,-2.551831,-2.533764,-2.530355,-2.556944,-2.543309,-2.5423202
91106,-2.53206,-2.524219,-2.547399,-2.578758,-2.543309,-2.562738,-2.534787,-2.54774,-2.529333,-2.553535,-2.5453878
91107,-2.523196,-2.532401,-2.608751,-2.537514,-2.552512,-2.547399,-2.540582,-2.590347,-2.545013,-2.531037,-2.5508752
91108,-2.526265,-2.539559,-2.531719,-2.550808,-2.533764,-2.524901,-2.545354,-2.518083,-2.533764,-2.54365,-2.5347867
91109,-2.576031,-2.554898,-2.52831,-2.541604,-2.534446,-2.549104,-2.531719,-2.564783,-2.523196,-2.517401,-2.5421492
91110,-2.545695,-2.533423,-2.523196,-2.530696,-2.526265,-2.554558,-2.516719,-2.535128,-2.533423,-2.54365,-2.5342753
91111,-2.531378,-2.530355,-2.523196,-2.518083,-2.526605,-2.539218,-2.530696,-2.519106,-2.533764,-2.533423,-2.5285824
91112,-2.526946,-2.520469,-2.54365,-2.533764,-2.554898,-2.54774,-2.548763,-2.543991,-2.526605,-2.535469,-2.5382295
91113,-2.527969,-2.569215,-2.523878,-2.54365,-2.519787,-2.534105,-2.526265,-2.539218,-2.549785,-2.540241,-2.5374113
91114,-2.52456,-2.534446,-2.515697,-2.518765,-2.537173,-2.51706,-2.526265,-2.522174,-2.546036,-2.521492,-2.5263668
91115,-2.525924,-2.52081,-2.535128,-2.514674,-2.537173,-2.519787,-2.528651,-2.537514,-2.530696,-2.518083,-2.526844
91116,-2.520128,-2.523878,-2.541264,-2.517742,-2.538196,-2.526265,-2.523196,-2.518765,-2.521492,-2.507856,-2.5238782
91117,-2.522515,-2.561716,-2.544331,-2.516719,-2.523196,-2.521833,-2.534446,-2.521492,-2.520469,-2.525583,-2.52923
91118,-2.508197,-2.551149,-2.523537,-2.516378,-2.523196,-2.520469,-2.540241,-2.518083,-2.506833,-2.507856,-2.5215939
91119,-2.53615,-2.521492,-2.526265,-2.537173,-2.521492,-2.503083,-2.513651,-2.512628,-2.519787,-2.506492,-2.5198213
91120,-2.556603,-2.524219,-2.539559,-2.54774,-2.547058,-2.531037,-2.509219,-2.521151,-2.631243,-2.528651,-2.543648
91121,-2.510583,-2.516719,-2.52456,-2.519447,-2.537173,-2.518424,-2.540582,-2.530696,-2.515356,-2.510242,-2.5223782
91122,-2.516038,-2.527969,-2.530696,-2.539559,-2.515356,-2.522856,-2.530696,-2.518424,-2.532401,-2.526946,-2.5260941
